data,descricao,categoria,valor,tipo
1929-10-24,Queda da Bolsa de Nova York,crise_1929,11.70,queda
1929-10-29,Black Tuesday,crise_1929,12.80,queda
1973-10-01,Crise do Petróleo,crise_petroleo,4.00,aumento
1987-10-19,Black Monday,crise_1987,22.60,queda
1997-07-02,Crise Financeira Asiática,crise_asiatica,15.00,queda
2000-03-10,Estouro da Bolha da Internet,bolha_tecnologia,27.00,queda
2008-09-15,Falência do Lehman Brothers,crise_2008,4.71,queda
2008-10-10,Crise dos mercados globais,crise_2008,7.60,queda
2020-02-20,Impacto inicial da Covid-19,crise_covid,3.35,queda
2020-03-16,Queda dos mercados durante a pandemia,crise_covid,12.93,queda
